01000000Y100,Y1,240718,0
HBB,,16:35
QHX,175,12
JGX,429,34
MVX,451

76000000Y100,Y1,240807,0
ICW,,17:00
CUW,30

65000000Y200,Y2,240715-16,0
SZQ,,10:00
GZG,393,11
XTG,252,25
JJG,112,11
MCN,140,6
FYH,178,44
王楼,80,25
HIK,93,35
YZK,112,6
QFK,47

77000000Y200,Y2,240807,0
CUW,,18:00
ICW,30

47000000Y410,Y4,240716,0
QFK,,20:00
YZK,28,6
JNK,107,29
DZP,104,6
TJP,198,33
SHD,205,6
SYT,276,30
CCT,214,8
VBB,175

28000000Y500,Y4,240722,0
DTV,,14:36
TYV,229,20
VVP,170,10
UCK,206,19
FYH,263,22
MCN,150,15
JJG,162,6
XTG,102,26
GZG,264,39
RJG,73

28000000Y510,Y5,240723,0
DTV,,14:36
RJG,336

04000000Y600,Y3,240719,0
MVX,,20:02
JGX,573,95
QHX,407,63
BCT,170,10
TLD,179,23
DBC,259,20
OGC,297,10
JAC,277,20
DTV,102

04000000Y610,Y6,240720,0
MVX,,20:02
QHX,1075,63
DTV,1367

57000000Y700,Y7,240725,0
57000000Y710,Y7,240727,0
GZG,,23:12
SZQ,393

8000000Y2630,Y26,241105,0
8000000Y2650,Y26,241203,0
KMM,,22:08
ENM,672

8000000Y2600,Y26,240924,0
KMM,,16:00
AXM,92,4
MHM,486,448
VBM,14,46
VJM,245

8000000Y2610,Y26,241008,0
KMM,,22:08
ENM,288,20
MHM,82,272
VBM,14,46
VJM,245

8400000Y2710,Y27,241106,0
ENM,,21:30
MHM,218,482
VBM,14,46
VJM,245

8L00000Y2730,Y27,241109,0
VJM,,04:00
YTM,368

8400000Y2720,Y27,241204,0
ENM,,21:30
MHM,218,482
VBM,14,46
VJM,245

8L00000Y2830,Y25,241110,0
YTM,,23:00
VBM,600,60
MHM,14,61
ENM,115,15
KMM,411

8L00000Y2840,Y25,241208,0
YTM,,23:30
VBM,570,60
MHM,14,61
ENM,115,15
KMM,411

8L00000Y2800,Y28,240926,0
YTM,,23:30
VBM,570,60
MHM,14,61
KMM,493

8L00000Y2810,Y28,241010,0
YTM,,23:30
VBM,570,60
MHM,14,61
ENM,115,15
KMM,411

5500000Y3250,Y32,240619,0
SHH,,23:57
NJH,305,25
BBH,142,24
XCH,116,17
TAK,188,2
JNK,56,6
DZP,90,34
TXP,302,21
TJP,73,32
TSP,81,5
SHD,191

5500000Y3260,Y32,240803,0
SHH,,23:57
NJH,305,25
BBH,142,24
XCH,116,17
JNK,246,6
SHD,829

1200000Y34B0,Y34,240623,0
1200000Y34C0,Y34,240625,0
1200000Y34E0,Y34,240630,0
SYT,,00:32
JZD,167,11
SHD,138

1200000Y34D0,Y34,240702,0
SYT,,03:20
JZD,1439,11
SHD,138,20
TSP,149,7
TJP,86,31
TXP,22,13
DZP,290,26
JNK,187,6
TAK,52,3
XCH,205,25
BBH,203,17
NJH,243,15
SHH,352

1200000Y34F0,Y34,240727,0
SYT,,00:32
SHD,316

1100000Y3400,Y34,240801,0
SPT,,21:10
SHD,518

1200000Y34I0,Y34,240802,0
1200000Y34G0,Y34,240808,0
SYT,,00:32
SHD,316

1200000Y34L0,Y34,240816,0
SYT,,00:32
SHH,828

1200000Y34M0,Y34,240825,0
SYT,,00:32
