北京北,VAP,12
北京东,BOP,16
北京,BJP,10
北京南,VNP,12:30
北京大兴,IPP,16
北京西,BXP,08
北京朝阳,IFP,10
重庆北,CUW,11
重庆,CQW,11
重庆南,CRW,15:30
重庆西,CXW,11
上海,SHH,14:30
上海南,SNH,14:30
上海虹桥,AOH,13:30
上海西,SXH,14:30
天津北,TBP,15
天津,TJP,15
天津南,TIP,13
天津西,TXP,15
万象,YTM,
滨江,BJB,11
百浪,BRZ,
班猫箐,BNM,
北营,BIV,
长春,CCT,12
长春南,CET,16:30
长春西,CRT,12
成都东,ICW,08:30
成都南,CNW,09
成都,CDW,09
成都西,CMW,09
陈官营,CAJ,
长沙,CSQ,14:30
长沙南,CWQ,14:30
长沙西,RXQ,17:30
常庄,CVK,
大成,DCT,16:30
大拟,DNZ,
读书铺,DPM,
大王滩,DZZ,
大元,DYZ,
丰水村,FSJ,
福州,FZS,16
福州南,FYS,16
甘草店,GDJ,
钢城,GAK,
孤家子,GKT,16:30
广南卫,GNM,
贵阳,GIW,10
贵阳北,KQW,10
贵阳东,KEW,10
广州北,GBQ,11:30
广州东,GGQ,11:30
广州,GZQ,11
广州南,IZQ,10
广州西,GXQ,
哈尔滨北,HTB,10
哈尔滨,HBB,10
哈尔滨东,VBB,10
哈尔滨西,VAB,10
合肥北城,COH,12:30
合肥,HFH,12:30
合肥南,ENH,12:30
皇姑屯,HTT,16:30
呼和浩特东,NDC,14
呼和浩特,HHC,14
海口东,HMQ,13:30
海口,VUQ,13:30
杭州东,HGH,10:30
杭州,HZH,10:30
杭州南,XHH,10:30
金马村,JMM,
济南,JNK,14
济南东,MDK,14
济南西,JGK,14
昆明,KMM,14:30
昆明南,KOM,14:30
历城,VHK,
蔺家楼,ULK,
龙泉寺,UQJ,
拉萨,LSO,15
乐善村,LUM,
林盛堡,LBT,
骆驼巷,LTJ,
莱芜北,VIK,
兰州东,LVJ,
兰州,LZJ,09
兰州新区,LQJ,09
兰州西,LAJ,09
茂舍祖,MOM,
南昌,NCG,09:30
宁村,NCZ,
南昌西,NXG,09:30
南京,NJH,08
南京南,NKH,08
那罗,ULZ,
南宁东,NFZ,15
南宁,NNZ,15
南宁西,NXZ,17:30
那铺,NPZ,
暖泉,NQJ,
坡底下,PXJ,
七甸,QDM,
世博园,ZWT,16:30
石家庄北,VVP,14
石家庄东,SXP,16
邵家堂,SJJ,
石家庄,SJP,14
施家嘴,SHM,
沈阳,SYT,09:30
沈阳北,SBT,09
沈阳东,SDT,16:30
沈阳南,SOT,09:30
水源,OYJ,
沈阳西,OOT,
桑园子,SAJ,
太原北,TBV,15
太原东,TDV,15
太原南,TNV,14
太原,TYV,14:30
武汉,WHN,13:30
武汉东,LFN,
王家湾,WJJ,
乌鲁木齐南,WMR,08:30
乌鲁木齐,WAR,08:30
吴圩机场,WJZ,
王兆屯,WZB,16:30
西安北,EAY,10:30
西安,XAY,11:30
西固城,XUJ,
西街口,EKM,
许家台,XTJ,
西宁,XNO,15
小哨,XAM,
雪野,XYK,
银川,YIJ,10:30
永丰营,YYM,
一间堡,YJT,16:30
宜耐,YVM,
羊堡,ABM,
榆树台,YUT,16:30
引镇,CAY,
朱家窑,ZUJ,
章丘南,VQK,
郑州东,ZAF,14
郑州航空港,ZIF,
郑州,ZZF,14
郑州西,XPF,14
昂昂溪,AAX,16:30
阿城北,ABB,09
阿城,ACB,16:30
安达,ADX,16:30
安德,ARW,15:30
阿尔山北,ARX,16
阿尔山,ART,16:30
安吉,AJU,09:30
安靖,PYW,15:30
安家,AJB,16:30
安康,AKY,16
阿克苏,ASR,09
阿克陶,AER,09
阿拉尔,AOR,
阿里河,AHX,16:30
阿拉山口,AKR,09
阿勒泰,AUR,09
安陆,ALN,18
安陆西,AXN,18
安平,APT,16:30
安庆,AQH,12:30
安庆西,AIU,
安顺,ASW,15:30
鞍山,AST,15:30
安顺西,ASE,15:30
鞍山西,AXT,15:30
安亭北,ASH,14:30
安亭西,AXU,14:30
安阳,AYF,12
安阳东,ADF,12
北安,BAB,16:30
博白,BBZ,17:30
蚌埠南,BMH,18
蚌埠,BBH,18
巴楚,BCR,09
白城,BCT,08:30
北辰,BII,
宝坻北,BPP,
八达岭长城,VLP,16
保定东,BMP,16
北戴河,BEP,16
保定,BDP,16
八达岭,ILP,16
巴东,BBN,18
八方山,FGQ,17:30
柏果,BGM,15
北海,BHZ,17:30
布海,BUT,16:30
滨海,YKP,16
滨海北,FCP,16
白河,BEL,16:30
滨海西,FHP,16
毕节,BOE,15:30
宝鸡,BJY,12
白涧,BAP,16
宝鸡南,BBY,12
北京丰台,FTP,
白奎堡,BKB,16:30
博克图,BKX,16:30
博乐,BER,09
巴林,BLX,16:30
勃利,BLB,16:30
白马井,BFQ,13:30
八面通,BMB,16:30
北票,BPT,
宝清,BUB,16:30
宝泉岭,BQB,16:30
百色,BIZ,17:30
白山市,HJL,15:30
北台,BTT,16:30
包头东,BDC,14:30
包头,BTC,14:30
北屯市,BXR,09
宾西北,BBB,09
本溪,BXT,16:30
步行街,BWW,15:30
宾阳,UKZ,17:30
白云鄂博,BEC,15
白云北,BVE,15:30
白云机场北,BBA,14
白洋淀,FWP,16
背荫河,BYB,16:30
百宜,FHW,15:30
巴彦高勒,BAC,15
鲅鱼圈,BYT,16:30
白银西,BXJ,11:30
白云西,BXE,
彬州东,BFY,18
巴中,IEW,15:30
滨州,BIK,18
亳州,BZH,13
宾州,BZB,09
亳州南,BNU,13
查布嘎,CBC,15
赤壁,CBN,18
长白山,CUL,
常德,VGQ,16:30
承德,CDP,15:30
长甸,CDT,16:30
承德南,IVP,16
曹妃甸东,POP,16
赤峰,CID,13
曹妃甸港,PGP,16
赤峰南,CFD,13
嵯岗,CAX,16:30
柴岗,CGT,16:30
长葛北,CGF,13
柴沟堡,CGV,15
城固,CGY,18
成高子,CZB,16:30
草海,WBW,15:30
巢湖东,GUH,12:30
柴河,CHB,16:30
巢湖,CIH,12:30
从江,KNW,
蔡家崖,EBV,15
长乐东,CIS,18
长乐,CAS,18
长临河,FVH,12:30
慈利,CUQ,17:30
茶陵,CDG,17:30
崇礼,KOP,
昌黎,CLP,16
长流,CLA,13:30
长乐南,CVS,18
晨明,CMB,16:30
苍南,CEH,09:30
昌平北,VBP,16
