BXP,,10:56,Y505
RMP,87,2
RQP,44,2
SYP,32,16
HSP,124
HSP,,17:50,Y506
SYP,49,2
RQP,25,2
RMP,36,2
BXP,82
HSP,,16:48,Y507
ENP,39,2
VVP,61
VVP,,15:22,Y508,,210625-1010
ENP,51,4
HSP,39
VVP,,15:22,Y508,,211011-25
ENP,54,2
HSP,39
BJP,,08:15,Y509,,210625-1010
FUP,93,2
UXP,62,9
CLP,26,3
BEP,20,10
QTP,18
BJP,,08:15,Y509,,211011-25
FUP,93,3
UXP,43,28
CLP,26,2
BEP,20,10
QTP,18
QTP,,13:13,Y510
BEP,17,3
UXP,45,2
FUP,37,3
ATP,22,2
BJP,81
HDP,,06:55,Y512,,210625-1010
VOP,19,2
XTP,16,3
GIP,36,3
SJP,38,6
BDP,80,4
BJP,124,46
MUP,83,3
EXP,91,6
YIP,25,6
EIP,15,5
CDP,88
HDP,,06:55,Y512,,211011-25
XTP,36,3
GIP,36,2
SJP,38,8
BDP,80,4
BJP,124,46
MUP,83,3
EXP,91,6
YIP,25,6
EIP,15,5
CDP,88
CDP,,13:13,Y514,,210625-1010
YIP,90,2
MUP,101,2
BJP,89,41
BDP,113,7
SJP,86,6
XTP,63,2
VOP,17,2
HDP,25
CDP,,13:13,Y514,,211011-25
YIP,90,2
MUP,101,2
BJP,89,41
BDP,113,8
SJP,86,6
XTP,66,4
HDP,38
BJP,,07:14,Y535,,210625-1010
ODP,43,1
SCP,93,2
ZMP,69
BJP,,07:14,Y535,,211011-25
ODP,43,1
SCP,93,2
XHP,42,2
ZMP,25
ZMP,,11:21,Y536
XHP,22,2
BJP,185
LZJ,,17:52,Y667
ZYJ,335,7
JGJ,126,9,,1
DHJ,247
DHJ,,20:43,Y669
JGJ,194,8,,1
ZYJ,114,7
LAJ,311,2
LZJ,12
TSJ,,14:42,Y671
GGJ,46,2
LXJ,49,3
DSJ,56,5
LZJ,97,21
WUJ,206,6
JCJ,43,6
ZYJ,110,6,,1
JQJ,143,2
JGJ,19,12
GZJ,176,6
DHJ,142
DHJ,,17:42,Y673,,210625-1010
JGJ,320,18
ZYJ,130,8,,1,210626-1011
JCJ,114,15
WUJ,51,11
LZJ,243,24
DSJ,76,4
LXJ,53,5
GGJ,50,4
TSJ,79
DHJ,,17:42,Y673,,211011-25
YXJ,219,4
JGJ,92,15
ZYJ,140,6,,1,211012-26
JCJ,114,15
WUJ,51,11
LZJ,243,24
DSJ,76,4
LXJ,53,5
GGJ,50,4
TSJ,79
SXH,,08:48,Y701,,210625-0831
JSH,57,3
JXH,13
SXH,,08:48,Y701,,210928-1025
JSH,57,3
JXH,13
JXH,,18:10,Y702,,210625-0831
JSH,13,10
SXH,65
JXH,,18:10,Y702,,210928-1025
JSH,13,10
SXH,65
KMM,,22:00,Y752,,211010-15|17|19|21|23|25
LHM,520,,,1,211011-16|18|20|22|24|26
LHM,,20:00,Y754,,211020|25
KMM,555,,,1,211021|26
DKM,,13:40,Y761,,b00101&211015-20|25
HQM,173,41
LHM,24
LHM,,09:55,Y762,,b00101&211015-20|25
HQM,23,8
DKM,147
YWY,,15:30,Y775,,210702
LRY,68,2
PEY,66,3
XAY,97,15
XYY,29,30
AKY,230,,,1,210703
YWY,,00:10,Y775,,210706
EKY,364,6
AKY,55
YWY,,19:31,Y775,,210716-18
LRY,56,2
PEY,73,3
XAY,125
YWY,,19:31,Y775,,w567&210723-0829
LRY,56,2
PEY,73,3
XAY,125
AKY,,07:00,Y776,,210702|05
XBY,44,4
XAY,133,10
XYY,18,31
YWY,211
AKY,,07:30,Y776,,210703
EKY,45,5
CAY,78,8
YWY,285
AKY,,11:40,Y776,,210716-18
XBY,40,2
ZEY,41,2
CAY,58,3
XAY,41,19
PEY,69,5
VLY,53,11
YWY,71
AKY,,11:40,Y776,,w567&210723-0829
XBY,40,2
ZEY,41,2
CAY,58,3
XAY,41,19
PEY,69,5
VLY,53,11
YWY,71
YWY,,07:09,Y779,,210704
XAY,281,16
XBY,152,4
AKY,48
WAR,,21:10,Y951,,210625-0905|10-1010
SZR,89,2
KTR,57,9
YMR,412,,,1,210626-0906|11-1011
WAR,,20:10,Y951,,211011-25
SZR,96,2
KTR,71,6
JIR,141,7,,1,211012-26
YMR,291
YMR,,23:30,Y952,,210625
KTR,336,6,,1,210626
SZR,56,2
WAR,84
YMR,,23:30,Y952,,210626-0906|11-1010
KTR,336,6,,1,210627-0907|12-1011
SZR,56,2
WAR,88
YMR,,23:30,Y952,,211011-25
JIR,187,3,,1,211012-26
KTR,131,8
SZR,59,2
WAR,95
WAR,,21:00,Y953,,210625-0906|08|10-1010
SZR,89,2
KTR,57,2
KHR,87,20,,1,210626-0907|09|11-1011
FHR,289,13
BXR,27,26
AUR,48
AUR,,21:04,Y954,,210625
BXR,51,15
FHR,25,2
KHR,191,8,,1,210626
KTR,177,10
SZR,56,2
WAR,84
AUR,,21:02,Y954,,210626-0907|09|11-1011
BXR,51,17
FHR,25,2
KHR,191,8,,1,210627-0908|10|12-1012
KTR,177,10
SZR,56,2
WAR,88
WAR,,10:05,Y962,,210625-1009
TFR,112,6
鱼儿沟,56,1
MLR,58,2
KLR,81,20
LAR,105,2
KCR,54,6
ASR,131,8
BCR,327,8,,1,210626-1010
KSR,187,18
YIR,40,3
SCR,71,2
ZPR,17,3
YER,27,6
PSR,48,2
ESR,57,2
VTR,43
WAR,,10:05,Y962,,211010
TFR,112,6
鱼儿沟,56,1
MLR,58,2
KLR,81,20
LAR,105,2
KCR,54,6
ASR,131,8
BCR,327,8,,1,211011
KSR,187,18
YIR,40,3
SCR,71,2
ZPR,17,3
YER,27,6
PSR,48,2
ESR,57,2
VTR,43
WAR,,09:40,Y962,,211011-15|17
TFR,134,6
MLR,124,2
KLR,93,20
LAR,119,2
KCR,60,6
ASR,134,6
KSR,482,20,,1,211012-16|18
YIR,43,3
SCR,69,3
ZPR,17,3
YER,27,6
PSR,48,2
VTR,98
VTR,,16:10,Y964,,210625-1010
MUR,14,4
PSR,82,3
YER,49,6
ZPR,27,2
SCR,17,2
KSR,112,20
ATR,27,2
BCR,133,4,,1,210626-1011
ASR,159,9
KCR,138,6
LAR,58,2
KLR,144,20
鱼儿沟,133,2
TFR,67,4
DCR,35,2
WAR,71
VTR,,16:10,Y964,,211015
MUR,14,4
PSR,82,3
YER,49,6
ZPR,27,2
SCR,17,2
KSR,112,20
ATR,27,2
BCR,130,5,,1,211016
ASR,161,9
KCR,140,6
LAR,67,2
KLR,107,25
TFR,207,6
WAR,102
BJY,,16:08,1148,,210625-0720|22-24|27-0817|26-1010
CJY,29,3
YSY,28,3
XYY,39,3
XAY,24,12
WNY,38,2
TGY,64,2
LBF,60,2
LYF,147,28,,1,210626-0721|23-25|28-0818|27-1011
ZZF,101,21
KFF,46,2
SQF,84,17
DKH,43,4
XCH,80,6
VIH,77,4
UIH,58,4
UKH,32
BJY,,16:05,1148,,211011-25
CJY,30,2
YSY,29,2
XYY,41,4
XAY,24,12
WNY,40,2
TGY,62,2
LBF,60,2
LYF,147,28,,1,211012-26
ZZF,101,21
KFF,46,2
SQF,84,17
DKH,43,4
XCH,80,6
VIH,77,4
UIH,58,4
UKH,32
UKH,,16:15,1150
UIH,28,3
VIH,61,4
PJH,26,12
XCH,71,14
KOH,33,2
DKH,25,6
IXH,34,4
SQF,15,12
LKF,56,3
KFF,31,3
ZZF,46,20,,1
LYF,94,4
HGY,245,2
WNY,48,2
XAY,49,8
XYY,19,8
YSY,39,14
BJY,63
SHH,,20:08,1228,,210625-1010
SZH,67,4
WXH,28,3
CZH,27,3
NJH,123,6,,1,210626-1011
CUH,38,10
BBH,84,6
OXH,57,4
XCH,51,14
ZFK,52,2
TXK,22,2
ZIK,29,2
YZK,15,2
CYK,33,2
TAK,24,4
JNK,55,23
YCK,40,7
PYK,24,14
DZP,33,21
WUP,16,3
DGP,21,2
BZP,14,13
COP,24,3
QXP,20,3
TJP,81,7
TSP,95,3
SHD,132,10
XCD,70,2
HLD,18,2
JZD,39,8
FXD,88
SHH,,20:08,1228,,211011-25
SZH,62,9
WXH,28,3
CZH,27,3
NJH,123,6,,1,211012-26
CUH,38,10
BBH,84,6
XCH,112,14
ZFK,52,2
TXK,22,2
ZIK,29,2
YZK,15,2
CYK,33,2
TAK,24,4
JNK,55,23
YCK,40,7
PYK,24,11
DZP,39,13
WUP,19,2
DGP,23,3
BZP,14,13
COP,24,3
QXP,20,3
TJP,81,7
TSP,95,3
SHD,132,6
XCD,74,2
HLD,18,2
JZD,39,8
FXD,88
FXD,,16:48,1230,,210625-1010
QBD,22,3
YXD,34,2
JZD,51,6
HLD,36,2
XCD,17,2
SZD,31,2
SHD,49,6
UXP,86,15
TSP,51,2
TJP,104,9,,1,210626-1011
COP,79,6
DZP,76,2
JNK,89,15
TAK,47,2
CYK,25,2
YZK,35,2
TXK,38,2
XCH,79,12
OXH,47,3
BBH,59,3
CUH,78,3
NJH,44,10
DYH,59,4
CZH,29,3
WXH,27,4
SZH,40,8
SHH,63
FXD,,16:47,1230,,211011-25
QBD,23,3
YXD,34,2
JZD,51,6
HLD,36,2
XCD,17,2
SZD,31,2
SHD,49,6
UXP,86,15
TSP,51,2
TJP,104,9,,1,211012-26
COP,79,6
DZP,76,2
JNK,89,15
TAK,47,2
CYK,25,2
YZK,35,3
XCH,118,12
BBH,107,6
NJH,124,10
DYH,59,4
CZH,29,3
WXH,27,4
SZH,40,8
SHH,63
BXP,,22:38,1303,,w567
HSP,193,4,,1,w671
QYP,50,11
UCK,51,6
HIK,90,4
CXK,35,2
SQF,44,11
NLF,27,4
KFF,60,4
ZZF,46
BXP,,22:38,1303,,w1234&210701-0831
HSP,193,4,,1,w2345&210702-0901
QYP,50,11
UCK,51,6
HIK,90,4
CXK,35,2
SQF,44,11
NLF,27,4
KFF,60,4
ZZF,46
BXP,,22:38,1303,,210920-21
HSP,193,4,,1,210921-22
QYP,50,11
UCK,51,6
HIK,90,4
CXK,35,2
SQF,44,11
NLF,27,4
KFF,60,4
ZZF,46
BXP,,22:38,1303,,210928-30|1004-07
HSP,193,4,,1,210929-1001|05-08
QYP,50,11
UCK,51,6
HIK,90,4
CXK,35,2
SQF,44,11
NLF,27,4
KFF,60,4
ZZF,46
ZZF,,08:10,1304,,w567
KFF,47,3
LKF,31,4
SQF,59,6
CXK,37,3
DQK,17,5
HIK,17,7
YPK,34,5
LMK,16,5
TTK,14,3
YIK,12,3
UCK,30,10
UQK,40,3
DJP,44,2
HSP,41,18
OZP,23,2
RVP,17,2
RQP,37,12
RMP,62,2
BXP,133
ZZF,,08:10,1304,,w1234&210701-0831
KFF,47,3
LKF,31,4
SQF,59,6
CXK,37,3
DQK,17,5
HIK,17,7
YPK,34,5
LMK,16,5
TTK,14,3
YIK,12,3
UCK,30,10
UQK,40,3
DJP,44,2
HSP,41,18
OZP,23,2
RVP,17,2
RQP,37,12
RMP,62,2
BXP,133
ZZF,,08:10,1304,,210920-21
KFF,47,3
LKF,31,4
SQF,59,6
CXK,37,3
DQK,17,5
HIK,17,7
YPK,34,5
LMK,16,5
TTK,14,3
YIK,12,3
UCK,30,10
UQK,40,3
DJP,44,2
HSP,41,18
OZP,23,2
RVP,17,2
RQP,37,12
RMP,62,2
BXP,133
ZZF,,08:10,1304,,210928-30|1004-07
KFF,47,3
LKF,31,4
SQF,59,6
CXK,37,3
DQK,17,5
HIK,17,7
YPK,34,5
LMK,16,5
TTK,14,3
YIK,12,3
UCK,30,10
UQK,40,3
DJP,44,2
HSP,41,18
OZP,23,2
RVP,17,2
RQP,37,12
RMP,62,2
BXP,133
BJP,,11:55,1461,,210625-1010
LFP,53,2
YBP,23,2
TXP,28,3
JHP,27,3
QXP,26,3
COP,20,6
BZP,24,3
DGP,14,3
WUP,24,3
DZP,24,3
JNK,90,6
TAK,52,3
CYK,26,2
YZK,35,5
ZIK,16,2
TXK,26,3
ZFK,22,3
XCH,58,19
OXH,48,3
BBH,59,4,,1,210626-1011
CUH,78,3
NJH,44,8
CZH,80,4
WXH,51,4
SZH,28,4
SHH,62
BJP,,11:55,1461,,211011-25
LFP,53,2
YBP,23,2
TXP,28,3
JHP,27,2
QXP,27,2
COP,22,5
BZP,25,2
DGP,14,2
WUP,25,2
DZP,25,3
JNK,90,6
TAK,52,3
CYK,26,2
YZK,35,5
ZIK,16,2
TXK,26,3
ZFK,22,3
XCH,58,19
BBH,110,4,,1,211012-26
CUH,78,3
NJH,44,8
CZH,80,5
WXH,27,5
