BXP,,10:56,Y505,,220408-0517
RMP,87,2
RQP,44,2
SYP,32,16
HSP,124
HSP,,17:50,Y506,,220408-0518
SYP,49,2
RQP,25,2
RMP,36,2
BXP,82
HSP,,16:48,Y507,,220408-0517
ENP,39,2
VVP,61
VVP,,15:22,Y508,,220408-0518
ENP,54,2
HSP,39
BJP,,08:15,Y509
FUP,93,3
UXP,43,28
CLP,26,2
BEP,20,10
QTP,18
QTP,,13:13,Y510
BEP,17,3
UXP,45,2
FUP,37,3
ATP,22,2
BJP,81
HDP,,06:55,Y512
XTP,36,3
GIP,36,2
SJP,38,8
BDP,80,4
BJP,124,46
MUP,83,3
EXP,91,6
YIP,25,6
EIP,15,5
CDP,88
CDP,,13:13,Y514
YIP,90,2
MUP,101,2
BJP,89,41
BDP,113,8
SJP,86,6
XTP,66,4
HDP,38
BJP,,07:14,Y535,,220408-0517
ODP,43,1
SCP,93,2
XHP,42,2
ZMP,25
ZMP,,11:21,Y536,,220408-0517
XHP,22,2
BJP,185
LZJ,,17:52,Y667,,220408-20|26-0512
ZYJ,336,6
JGJ,126,9,,1,220409-21|27-0513
DHJ,247
DHJ,,20:43,Y669,,220408-21|27-0513
JGJ,196,9,,1,220409-22|28-0514
ZYJ,114,6
LAJ,318,6
LZJ,12
KMM,,22:00,Y752
LHM,520,,,1
LHM,,20:02,Y754
KMM,640,,,1
DKM,,13:49,Y761
HQM,164,7
LHM,58
LHM,,09:55,Y762
HQM,23,11
DKM,167
WAR,,20:55,Y951,,220408-11|29-0511
SZR,96,2
KTR,69,8
WSR,19,2,,1,220409-12|30-0512
YMR,409
YMR,,21:30,Y952,,220408-10|28-0510
JIR,268,2,,1,220409-11|29-0511
WSR,94,2
KTR,19,20
SZR,62,2
WAR,101
WAR,,20:40,Y953,,220429-30|0504-05
SZR,97,2
KTR,65,15
KHR,91,8,,1,220430-0501|05-06
FHR,263,2
BXR,25,20
AUR,52
AUR,,20:50,Y954,,220430-0501|05-06
BXR,45,21
FHR,24,10
KHR,204,10,,1,220501-02|06-07
KTR,136,15
SZR,58,2
WAR,95
WAR,,10:20,Y962,,220428-0505
TFR,115,4
MLR,124,2
KLR,88,20
LAR,108,2
KCR,58,6
ASR,134,12
KSR,311,21,,1,220429-0506
SCR,117,3
ZPR,17,3
YER,27,6
PSR,48,3
MUR,79,5
VTR,17
VTR,,15:20,Y964,,220429-0506
MUR,14,4
PSR,86,3
YER,53,6
ZPR,27,3
SCR,17,4
KSR,117,20
ATR,27,2
BCR,122,5
ASR,165,15,,1,220430-0507
KCR,148,9
KLR,179,39
TFR,215,6
WAR,115
BJY,,16:04,1148
CJY,30,2
YSY,29,3
XYY,41,2
XAY,21,17
WNY,40,2
TGY,62,2
LBF,60,2
LYF,147,28,,1
ZZF,101,21
KFF,46,2
SQF,84,17
DKH,43,4
XCH,80,6
VIH,77,4
UIH,58,4
UKH,32
UKH,,16:15,1150
UIH,28,3
DQH,26,4
VIH,31,4
PJH,26,12
XCH,71,14
KOH,33,2
DKH,25,6
IXH,34,4
SQF,15,12
LKF,56,3
KFF,31,3
ZZF,46,20,,1
LYF,94,4
HSY,245,2
WNY,48,2
XAY,49,8
XYY,19,8
YSY,39,7
BJY,63
SHH,,20:08,1228
SZH,62,9
WXH,28,3
CZH,27,3
NJH,123,6,,1
CUH,38,10
BBH,84,6
XCH,112,14
ZFK,52,2
TXK,22,2
ZIK,29,2
YZK,15,2
CYK,33,2
TAK,24,4
JNK,55,23
YCK,40,7
PYK,24,11
DZP,39,13
WUP,19,2
DGP,23,3
BZP,14,13
COP,24,3
QXP,20,3
TJP,81,7
SHD,230,6
XCD,74,2
HLD,18,2
JZD,39,8
FXD,88
FXD,,16:47,1230
QBD,23,3
YXD,34,2
JZD,51,6
HLD,36,2
XCD,17,2
SZD,31,2
SHD,49,6
UXP,86,15
TSP,51,2
TJP,104,9,,1
COP,79,6
DZP,76,2
JNK,89,15
TAK,47,2
CYK,25,2
YZK,35,3
XCH,118,12
BBH,107,6
NJH,126,8
DYH,59,4
CZH,29,3
WXH,27,4
SZH,40,8
SHH,63
BXP,,22:38,1303,,w567
HSP,193,4,,1,w671
QYP,50,11
UCK,51,6
HIK,90,4
CXK,35,2
SQF,44,11
NLF,27,2
KFF,60,4
ZZF,48
ZZF,,08:00,1304,,w567
KFF,47,4
LKF,31,4
SQF,67,6
CXK,38,3
DQK,19,2
HIK,18,7
YPK,36,3
LMK,16,5
TTK,14,3
YIK,12,3
UCK,30,10
UQK,40,3
DJP,44,2
HSP,41,18
OZP,23,2
RVP,17,2
RQP,37,12
RMP,62,2
BXP,133
BJP,,11:55,1461
LFP,53,2
YBP,23,2
TXP,28,3
JHP,27,2
QXP,27,2
COP,22,6
BZP,25,2
DGP,14,2
WUP,25,2
DZP,25,2
JNK,90,6
TAK,52,3
CYK,26,2
YZK,35,5
ZIK,16,2
TXK,26,3
ZFK,22,3
XCH,58,19
BBH,110,4,,1
CUH,78,3
NJH,44,8
CZH,80,5
WXH,27,5
SZH,28,5
SHH,73
SHH,,12:15,1462
KSH,37,5
SZH,24,5
WXH,28,4
CZH,27,4
NJH,103,10
CUH,38,5
MGH,43,4
BBH,44,6
XCH,126,10
ZFK,87,2
TXK,22,2
ZIK,57,4
TAK,68,11,,1
JNK,55,7
COP,221,17
QXP,20,2
JHP,26,3
TXP,38,6
YBP,24,2
LFP,23,33
BJP,102
DTV,,07:43,1551
HFV,36,2
YPV,81,3
XXV,24,3
YQV,49,2
TYV,35,23
YCV,21,3
YSV,131,3
WVV,35,3
CBF,134,15
CZF,15,4
JCF,97,4
JOF,77,2
XXF,50,25
ZZF,61,27
KFF,45,3,,1
XCH,174,15
PJH,52,3
VIH,29,3
DQH,30,4
UIH,46,11
UKH,29
UKH,,08:21,1552
UIH,28,6
DQH,25,5
VIH,32,4
PJH,25,6
XCH,59,15
KOH,33,4
DKH,21,3
IXH,47,4
SQF,17,4
MQF,37,3
LKF,22,3
KFF,31,3
ZZF,46,10
XXF,63,30
JOF,55,6
JCF,85,5
GPF,45,5
CZF,53,5
CBF,19,40
EIF,27,12,,1
QVV,57,2
WVV,26,2
YCV,181,4
TYV,25,21
XXV,75,3
DTV,134
NDC,,18:53,1818,,220408-16
JAC,83,12
SXC,75,2
HGC,46,2
ZXC,83,6,,1,220409-17
OGC,75,10
DBC,275,26
LRC,75,4
CBC,56,4
KLC,88,4
TLD,81
NDC,,18:53,1818,,220417-0519
JAC,83,12
SXC,75,2
HGC,46,2
ZXC,83,6,,1,220418-0520
OGC,75,10
DBC,275,26
LRC,75,4
CBC,56,4
KLC,88,4
TLD,81,18
BND,45,2
KTT,72,3
BCT,70,17
WWT,60
WWT,,14:27,1820
BCT,64,24
TVT,25,2
KTT,45,3
TIT,35,2
ALD,18,2
BND,22,2
TLD,61,18
KLC,68,3
CBC,83,2
LRC,52,2
DBC,78,20,,1
OGC,304,6
ZXC,70,6
HGC,78,2
SXC,50,2
JAC,75,23
NDC,96
DLT,,12:14,2051
WDT,73,3
XYT,53,2
DQT,48,3
HCT,26,2
AST,26,2
SYT,64,25
TLT,46,3
KYT,22,2
CTT,22,2
SPT,41,2
GLT,33,2
CCT,44,8
HBB,169,20,,1
WHB,286,3
HRB,126,5
MDB,28
MDB,,10:38,2052
HRB,20,2
SQB,24,2
HDB,30,2
YBB,52,2
WHB,17,2
YPB,29,2
SZB,18,2
MRB,38,2
PSB,10,2
XLB,10,2
YQB,16,2
ACB,21,2
CZB,19,1
HBB,41,10
VAB,9,13
SCB,32,3
CCT,118,22
GLT,38,2
SPT,40,2
CTT,33,2
TLT,42,2
SYT,57,13,,1
LYT,44,3
AST,18,3
HCT,26,3
DQT,30,3
XYT,39,3
WDT,48,3
PLT,20,3
JZT,37,2
DLT,34
DLT,,13:44,2061
JZT,28,3
WDT,51,3
XYT,56,2
GXT,23,2
DQT,28,2
HCT,24,2
AST,26,3
LYT,18,2
SXT,35,2
SYT,18,26
TLT,46,2
KYT,22,2
CTT,22,2
SPT,38,8
ZJD,81,5
BCT,183,15,,1
TLX,72,3
JQX,36,2
QHX,55,21
FYX,40,5
LHX,42,4
LEX,17,11
NHX,19,4
YLX,40,7
SSX,10,5
NGX,73,6
DUX,71,5
JGX,116
JGX,,13:02,2062
DUX,75,5
NGX,77,6
SSX,34,3
恒地营,35,8
NHX,13,3
LHX,31,5
FYX,44,4
QHX,45,25
JQX,55,3
TLX,42,7
BCT,71,12
ZJD,165,3,,1
SPT,77,8
SBT,169,32
SYT,8,13
SXT,15,2
DGT,20,2
张台子,8,2
LYT,10,2
AST,18,3
HCT,28,2
DQT,31,2
XYT,37,2
WDT,48,3
JZT,53,3
DLT,34
TYV,,19:22,2095
YCV,21,4
TGV,26,2
QXV,17,2
PYV,15,5
JXV,21,4
LSV,26,2
HZV,41,2
HDV,40,2
LFV,21,6
HMV,48,4,,1
XJV,15,2
JVV,17,2
HJV,22,2
HCY,45,13
WZY,77,2
XAY,126
XAY,,19:00,2096
WZY,109,2
HTY,45,2
HCY,36,8
HJV,60,3
JVV,24,3
XJV,18,3,,1
HMV,20,5
LFV,48,10
JXV,116,6
PYV,22,6
TGV,31,4
YCV,27,4
TYV,25
ZZF,,21:00,2150
XXF,64,45
CYF,79,8,,1
DNF,40,12
HIK,34,6
JIK,72,4
YZK,30,8
PIK,74,5
FXK,27,7
LVK,31,6
RZK,111
BJP,,22:45,2549
JZD,349,6,,1
PVD,61,2
GCT,47,5
HCT,15,3
AST,26
AST,,22:58,2550
HCT,30,5
PVD,113,3,,1
SHD,318,6
QTP,20,13
CLP,35,7
UXP,27,9
FUP,38,2
AJP,81,14
BJP,39
QTP,,16:28,2602,,w671
CLP,49,25
UXP,27,18
TSP,92,3
LTP,28,2
TJP,74,25
BJP,97,30,,1,w712
ZMP,210,6
YOV,108,2
DTV,53
SUV,,19:41,2604,,w567
RYV,31,2
HRV,31,2
DTV,45,26
YOV,43,2
CGV,67,2
ZMP,37,6,,1,w671
XHP,21,2
BJP,182,41
LFP,64,2
TJP,65,9
TGP,36,9
UXP,137,3
CLP,27,2
BEP,20,3
QTP,18
DLT,,07:27,2623
DFT,17,10
JZT,12,3
PLT,33,2
WDT,21,3
XYT,51,3
GXT,21,2
DQT,28,4
HCT,24,3
AST,27,3
LYT,20,3
SXT,38,4
SYT,18,15
SBT,7,9
TLT,43,2
CTT,45,2
SPT,38,10
GDT,18,2
GLT,18,2
CCT,43,8
DHT,47,2
FYT,41,2
SCB,36,2
HBB,41,32
ADX,81,3
ZTX,211,6,,1
YKX,199,5
DYX,19,2
HRX,62,10
完工,40,3
ZXX,72,6
MLX,25
MLX,,21:40,2624
ZXX,23,4
HRX,102,8
YKX,69,5,,1
ZTX,199,6
LJX,65,2
FRX,33,3
YUX,50,2
TKX,17,4
DZX,34,3
ADX,22,3
HBB,78,10
SCB,40,3
FYT,72,2
DHT,39,2
CCT,57,15
GLT,38,2
SPT,39,2
CTT,33,2
TLT,55,2
SYT,54,8
SXT,15,2
LYT,32,2
AST,18,3
HCT,26,2
DQT,30,2
GXT,20,2
XYT,21,2
WDT,48,2
JZT,53,2
DLT,34
HHC,,16:09,2635
CSC,33,2
BDC,60,4
BTC,17,15
WQC,64,2
WYC,35,2
LHC,39,8
BAC,37,2
WVC,56,4
WXC,26,6
HMJ,21,8
QQJ,33,5,,1
YIJ,42,8
QTJ,56,2
VNJ,40,5
ZWJ,42,12
JTJ,124,2
BXJ,86,3
LZJ,104,20
LAJ,12
LAJ,,11:06,2636
LZJ,12,10
BXJ,128,3
JTJ,85,4
ZWJ,120,13
VNJ,37,3
QTJ,72,3
YIJ,74,10
QQJ,36,8
HMJ,51,18
WXC,17,16
WVC,23,8
LHC,93,6,,1
BTC,173,8
BDC,15,4
HHC,93
JGX,,16:43,4059
松树林,18,2
翠峰,14,2
XYX,20,2
古源,15,2
大扬气,13,2
劲松,8,9
新天,17,2
太阳沟,18,1
塔源,16,2
LXX,16,2
XPX,12,2
大乌苏,14,2
碧州,17,6
翠岗,15,6
塔尔根,20,2
TXX,12
TXX,,05:01,4060
塔尔根,13,7
翠岗,20,6
碧州,15,2
大乌苏,17,4
LXX,22,5
塔源,17,3
太阳沟,16,2
新天,18,3
劲松,16,2
大扬气,8,3
古源,13,2
XYX,14,3
JGX,51
CAX,,20:15,4062
赫尔洪得,21,2
完工,21,2
乌固诺尔,22,2
HRX,30
QHX,,16:30,4081
高头,9,2
THX,19,2
FYX,28,4
FHX,28,2
